tweet_id,favorites,retweets,user_followers,user_favourites,date_time
876120275196170240,28054,4778,6600877,132942,2017-06-17 16:52:05
875747767867523072,25325,4372,6600877,132942,2017-06-16 16:11:53
875144289856114688,22032,5015,6600878,132942,2017-06-15 00:13:52
875097192612077568,27563,6161,6600878,132942,2017-06-14 21:06:43
875021211251597312,25625,4799,6600878,132942,2017-06-14 16:04:48
874680097055178752,28021,4731,6600627,132943,2017-06-13 17:29:20
874434818259525634,0,15080,6600878,132942,2017-06-13 01:14:41
874296783580663808,26217,4198,6600878,132942,2017-06-12 16:06:11
874057562936811520,22786,4031,6600878,132942,2017-06-12 00:15:36
874012996292530176,34909,10684,6600878,132942,2017-06-11 21:18:31
873580283840344065,24413,4033,6600878,132942,2017-06-10 16:39:04
873337748698140672,0,1623,6600878,132942,2017-06-10 00:35:19
873213775632977920,7321,1623,6600878,132942,2017-06-09 16:22:42
872967104147763200,27576,5516,6600878,132942,2017-06-09 00:02:31
872820683541237760,14827,3778,6600878,132942,2017-06-08 14:20:41
872668790621863937,0,30,6600878,132942,2017-06-08 04:17:07
872620804844003328,20965,3798,6600878,132942,2017-06-08 01:06:27
872486979161796608,41022,9220,6600878,132942,2017-06-07 16:14:40
872261713294495745,34527,6483,6600878,132942,2017-06-07 01:19:32
872122724285648897,34756,8325,6600878,132942,2017-06-06 16:07:15
871879754684805121,38422,11525,6600878,132942,2017-06-06 00:01:46
871762521631449091,20457,3569,6600878,132942,2017-06-05 16:15:56
871515927908634625,20422,3542,6600879,132942,2017-06-04 23:56:03
871166179821445120,0,5833,6600879,132942,2017-06-04 00:46:17
871102520638267392,21141,5630,6600879,132942,2017-06-03 20:33:19
871032628920680449,22899,3901,6600879,132942,2017-06-03 15:55:36
870804317367881728,34032,6396,6600879,132942,2017-06-03 00:48:22
870726314365509632,120,3,6600879,132942,2017-06-02 19:38:25
870656317836468226,12592,2729,6600879,132942,2017-06-02 15:00:16
870374049280663552,83667,27004,6600879,132942,2017-06-01 20:18:38
870308999962521604,22097,4273,6600879,132942,2017-06-01 16:00:09
870063196459192321,37158,8610,6600879,132942,2017-05-31 23:43:25
